"Time","Wattage","Temperature"
2024-02-24 17:27:54.092,0,40
2024-02-24 17:27:54.132,0,40
2024-02-24 17:27:54.178,0,40
2024-02-24 17:27:54.224,0,40
2024-02-24 17:27:52.519,0,40
2024-02-24 17:27:53.040,0,40
2024-02-24 17:27:53.372,0,40
2024-02-24 17:27:53.541,0,40
2024-02-24 17:27:53.730,0,40
2024-02-24 17:27:53.824,0,40
2024-02-24 17:27:53.916,0,40
2024-02-24 17:27:54.028,0,40
2024-02-24 17:27:54.132,0,40
2024-02-24 17:27:54.224,0,40
2024-02-24 17:27:54.270,0,40
2024-02-24 17:27:54.316,0,40
2024-02-24 17:27:54.362,0,40
2024-02-24 17:27:54.515,0,40
2024-02-24 17:27:54.560,0,40
2024-02-24 17:27:54.618,0,40
2024-02-24 17:27:54.663,0,40
